flag provided but not defined: -raft
flag provided but not defined: -emitcheckpoints
flag provided but not defined: -raftport
ERROR[02-12|22:56:23] Can't load node file /Users/oueikun/Desktop/BlockchainATM/private-geth/qdata/dd1/static-nodes.json: JSON syntax error at /Users/oueikun/Desktop/BlockchainATM/private-geth/qdata/dd1/static-nodes.json:1: unexpected end of JSON input 
INFO [02-12|22:56:23] Starting peer-to-peer node               instance=Geth/v1.7.3-stable/darwin-amd64/go1.9.2
INFO [02-12|22:56:23] Allocated cache and file handles         database=/Users/oueikun/Desktop/BlockchainATM/private-geth/qdata/dd1/geth/chaindata cache=128 handles=1024
WARN [02-12|22:56:23] Upgrading database to use lookup entries 
INFO [02-12|22:56:23] Database deduplication successful        deduped=0
INFO [02-12|22:56:23] Initialised chain configuration          config="{ChainID: 1 Homestead: 0 DAO: <nil> DAOSupport: false EIP150: <nil> EIP155: <nil> EIP158: <nil> Byzantium: <nil> Engine: unknown}"
INFO [02-12|22:56:23] Disk storage enabled for ethash caches   dir=/Users/oueikun/Desktop/BlockchainATM/private-geth/qdata/dd1/geth/ethash count=3
INFO [02-12|22:56:23] Disk storage enabled for ethash DAGs     dir=/Users/oueikun/.ethash                                                  count=2
INFO [02-12|22:56:23] Initialising Ethereum protocol           versions="[63 62]" network=1
INFO [02-12|22:56:23] Loaded most recent local header          number=0 hash=c23b4e…8b1b71 td=0
INFO [02-12|22:56:23] Loaded most recent local full block      number=0 hash=c23b4e…8b1b71 td=0
INFO [02-12|22:56:23] Loaded most recent local fast block      number=0 hash=c23b4e…8b1b71 td=0
INFO [02-12|22:56:23] Regenerated local transaction journal    transactions=0 accounts=0
INFO [02-12|22:56:23] Starting P2P networking 
INFO [02-12|22:56:25] UDP listener up                          self=enode://3474c4f37b6d305783c7ce28f6df15ae343064426abd7432405dc5d5152c12be9526ddd0733b91ee1d3b6389cce46dd0ed739a41bc9580743b8c1c16c3794090@[::]:7301
INFO [02-12|22:56:25] RLPx listener up                         self=enode://3474c4f37b6d305783c7ce28f6df15ae343064426abd7432405dc5d5152c12be9526ddd0733b91ee1d3b6389cce46dd0ed739a41bc9580743b8c1c16c3794090@[::]:7301
INFO [02-12|22:56:25] IPC endpoint opened: /Users/oueikun/Desktop/BlockchainATM/private-geth/qdata/dd1/geth.ipc 
